=======================================
2026-03-04_17-10-28
=======================================
reading nasdaq-stock-nyse.json
retrieved 2702 symbols
BRK-A: unknown mic for exchange: '', setting to XXXX
BRK-A: empty name, company, description, exchange, asset class, industry, sector, region,
BRK-B: unknown mic for exchange: '', setting to XXXX
BRK-B: empty name, company, description, exchange, asset class, industry, sector, region,
BAM: empty region,
BAP: empty region,
SUNB: empty region,
ONON: empty region,
FTI: empty region,
EC: empty region,
AS: empty region,
SQM: empty region,
TLK: empty region,
BCH: empty company, description, region,
EMA: empty region,
BSAC: empty region,
LTM: empty region,
BNT: empty region,
JBS: empty region,
FPS: empty region,
KLAR: empty region,
BVN: empty region,
MICC: empty region,
CIB: empty region,
BIRK: empty region,
BBU: empty region,
COMP: empty company, description, region,
QBTS: empty region,
BLCO: empty region,
SGHC: empty region,
LB: empty region,
CPA: empty region,
ENIC: empty region,
IFS: empty region,
WFG: empty region,
STVN: empty region,
BGSI: empty region,
AVAL: empty region,
BETA: empty region,
XXI: empty region,
ARIS: empty region,
CAAP: empty region,
SKE: empty region,
SII: empty region,
STNG: empty region,
NIQ: empty region,
HAFN: empty region,
AAUC: empty region,
MIAX: empty region,
STUB: empty region,
ZIM: empty region,
BBUC: empty region,
TTAM: empty region,
CMBT: empty region,
CWK: empty region,
WBI: empty region,
SUNC: empty region,
VTMX: empty region,
YSS: empty region,
NP: empty region,
AMBP: empty region,
MH: empty region,
BWLP: empty region,
ZGN: empty region,
ANDG: empty region,
LION: empty region,
BOBS: empty region,
AERO: empty region,
ARX: empty region,
CEPU: empty region,
CDLR: empty region,
TGLS: empty region,
ECO: empty region,
LTC: empty company, description, region,
BUR: empty region,
AGBK: empty region,
BLX: empty region,
TSLX: empty region,
MANE: empty region,
FLNG: empty region,
VIA: empty region,
XZO: empty region,
LUXE: empty region,
BTGO: empty region,
GOOS: empty region,
DEC: empty region,
PXED: empty region,
EVEX: empty region,
ASIC: empty region,
ANGX: empty region,
JMIA: empty region,
PSF: empty region,
OFRM: empty region,
KBDC: empty region,
CCU: empty region,
CPAC: empty region,
